notice_title,notice_deadline,org_country
Tender For Paving Of The Hospital Road -2.7Km In Shikoswe Ward Of Kafue District Lusaka Province,07/13/2026:00:00:00,ZM
The Acquisition Of Relief And Rescue Equipment With Accessories Intended For The General Directorate Of Civil Protection Rabat (Single Batch).,07/13/2026:10:00:00,MA
The Appointment Of A Service Providers To Manage The Marine Living Resources Fund (Mlrf)/ Department (Dffe) Fleet Of Fisheries Protection And Research Vessels For A Period Of Five (5) Years.,07/13/2026:11:00:00,ZA
Equipping An Administrative Building Annexed To The Wilaya Of The Rabat -Salé- Kenitra Region With Display And Videoconferencing Infrastructure.,07/13/2026:11:00:00,MA
"Fencing And Equipment Of Two (02) Vaccination Parks: 1 In Maréssararou, 1 In Kakouro (For The Benefit Of Breeders In Kakouro, Karassanda And Sonnin)",07/16/2026:00:00:00,BJ
"Notice Of Call For Tenders Ias No.: 002/Aoio/Minepia/Cccm-Bec/Cspm Pdcvep/Ucp/Spm/2026 Project Manager: The Minister Of Livestock, Fisheries And Animal Industries;  Project: Livestock And Fish Fish Value Chains Development Project. Name Of The Market: Design - Creation Of An Industrial And Modern Pig Slaughter And A Refrigerated Warehouse In Yaoundé As Well As The Supply, Assembly And Commissioning Of The Equipment; Staff Training And Technical Assistance. Country: Republic Of Cameroon Loan N°: N° 2000200003001 Of April 3, 2020 Procurement Method: Open International Call For Tender. (Aoio) Aoo N°: Line 213 Of The Ppm Issued On: 05/19/2026",07/16/2026:10:00:00,CM
"Rehabilitation Work On Primary Networks In The Towns Of Bizerte And Menzel Jmil: Transport, Laying Of Pipes, Civil Engineering And Electrical And Electromechanical Equipment Of Pumping Stations",07/16/2026:10:00:00,TN
"Reagents And Consumables For Automatic Biochemical Analyzers Au-480 (Beckman Coulter, Usa) For The City Children'S Infectious Diseases Clinical Hospital For The 3Rd-4Th Quarter Of 2026.",06/11/2026:00:00:00,BY
"Restructuring / Extension Of A Health Center On The Antrain Site-Relaunch Lot 15: Strong & Weak Current Electricity, Relaunch Lot 16: Hvac – Smoke Exhaust, Relaunch Lot 17: Plumbing – Sanitary, Relaunch Lot 19: Balneotherapy Equipment",06/11/2026:00:00:00,FR
"Ea-105-2026 Reagents, Consumables For Laboratory Department. (Part 6) New",06/11/2026:00:00:00,BY
Supply And Installation Of Videolaryngoscope For Different Intubations...,06/11/2026:00:00:00,IT
Repair Of The Nouvag Ag Motor Vibrating Saw System Repair Of The Power Supply Unit Of The Nouvag Ag Motor Vibrating Saw System,06/11/2026:00:00:00,BY
F017/2026 - Market Survey By Requesting Quotes For The Business...,06/11/2026:00:00:00,IT
Waste Collection Services,06/11/2026:00:00:00,GB
Oer-Aw Endoscope Reprocessor Repair Services,06/11/2026:00:00:00,BY
Framework Agreement Regarding Tree Pruning At Energinet'S Overhead Lines - Lot 3 - Zealand And Lolland-Falster - 26/07708,06/11/2026:00:00:00,DK
Supply Of 03 Benchtop Bilirubinometers Needed By Various Facilities...,06/11/2026:00:00:00,IT
"Open Request For Proposals (Rfp) No. 110-26 For The Right To Enter Into An Agreement For The Supply Of: ""Uninterruptible Power Supply Systems Ars And Spare Parts"" For The Needs Of Jsc ""Moldavian State District Power Plant""",06/11/2026:00:00:00,MD
"Technical Consulting Assignment, Property Inventory, Learning Sector, Ljusdal Municipality",06/11/2026:00:00:00,SE
Blocks Frozen From Boneless Pork Meat,06/11/2026:00:00:00,UA
Outsourcing Of The Administrative And Educational Organization Of Educational And Leisure Activities At The Jacqueline De Romilly Site - Municipality Of Saint-Cyr-L'École.,06/11/2026:00:00:00,FR
"Freiberger Mulde, Hws Döbeln, Lot 6 - Old Town (Sections I/1.5 A+B And I/1.6A)",06/11/2026:00:00:00,DE
26/21A Medicine Ibuprofen (Registered/Unregistered Medicine),06/11/2026:00:00:00,BY
"Diagnostic Or Laboratory Composite Reagents, Including Paper Impregnated Or Coated With Diagnostic Or Laboratory Reagents",06/11/2026:00:00:00,BY
"Diagnostic Or Laboratory Composite Reagents, Including Paper Impregnated Or Coated With Diagnostic Or Laboratory Reagents",06/11/2026:00:00:00,BY
"Mogilev Regional Center For Psychiatry And Narcology, Located At Mogilev, N. Karabanovskaya St., 90, 1St Stage""",06/11/2026:00:00:00,BY
Mt 414/26-Zoi “Hemostatic Sponge For The Gomel Region”,06/11/2026:00:00:00,BY
Provision Of Food Vouchers,06/11/2026:00:00:00,BG
"Diagnostic Or Laboratory Composite Reagents, Including Paper Impregnated Or Coated With Diagnostic Or Laboratory Reagents",06/11/2026:00:00:00,BY
Mt 494/26-Ea “Stress Ecg Testing System For The State Clinical Hospital”,06/11/2026:00:00:00,BY
Grodmt No. 400/26-Ea “Automatic Non-Magnetic Injector Of Contrast Agent Included In The Kit For The Healthcare Institution “City Clinical Hospital No. 4 Of Grodno” At The Request Of The Main Health Department Of The Grodno Regional Executive Committee”,06/11/2026:00:00:00,BY
"Mt 496/26-Ea “New Expert-Class Ultrasound Diagnostic Stationary Device For General, Cardiovascular, Obstetric And Gynecological Examinations For The Construction Project “Construction Of A Clinic Within The Boundaries Of Kalenikova-Bely Streets In Gomel””",06/11/2026:00:00:00,BY
"Diagnostic Or Laboratory Composite Reagents, Including Paper Impregnated Or Coated With Diagnostic Or Laboratory Reagents",06/11/2026:00:00:00,BY
"Diagnostic Or Laboratory Composite Reagents, Including Paper Impregnated Or Coated With Diagnostic Or Laboratory Reagents",06/11/2026:00:00:00,BY
Mt 498/26-Ea “Carbon Dioxide Incubator For Growing Cell Cultures For Medical Purposes For The Godmgtssk Marriage And Family”,06/11/2026:00:00:00,BY
"Diagnostic Or Laboratory Composite Reagents, Including Paper Impregnated Or Coated With Diagnostic Or Laboratory Reagents",06/11/2026:00:00:00,BY
"Diagnostic Or Laboratory Composite Reagents, Including Paper Impregnated Or Coated With Diagnostic Or Laboratory Reagents",06/11/2026:00:00:00,BY
"Electric Power Supply For The Premises Of The European Union Institutions In Bratislava, Slovakia",06/11/2026:00:00:59,LU
Two-Post Electro-Hydraulic Lifter With Lower Synchronization,06/11/2026:00:01:00,UA
Procurement Notice For Procurement Of Other Spare Parts For Construction Machinery,06/11/2026:08:00:00,BA
Provision Of Driving And Maintenance Services For The Buildings And Facilities Of The Cristóbal Balenciaga Museum In Getaria,06/11/2026:08:00:00,CH
Technical Service And Repair Of Vacuum Mail Systems (11838),06/11/2026:08:00:00,CH
Provision Of Driving And Maintenance Services For The Buildings And Facilities Of The Cristóbal Balenciaga Museum In Getaria,06/11/2026:08:00:00,ES
"Ubf Kornwestheim, Roadway Renovation Module 1",06/11/2026:08:30:00,DE
"Ubf Kornwestheim, Roadway Renovation Module 1",06/11/2026:08:30:00,DE
26-051337 Steel Construction Work For Escape Stairs,06/11/2026:08:50:00,DE
Delivery Of Medical Equipment For The Endoscopy Laboratory Of The District Hospital In Sławno,06/11/2026:09:00:00,PL
Services For Current Repair And Maintenance Of Office Equipment,06/11/2026:09:00:00,UA
Delivery Of Medical Equipment For The Endoscopy Laboratory Of The District Hospital In Sławno,06/11/2026:09:00:00,CH
"Providing Services In The Preparation, Delivery And Distribution Of Daily Patient Nutrition",06/11/2026:09:00:00,CH
"Procurement Notice For ""Services For The Preparation Of Elaboration On The Classification, Categorization And Calculation Of Technical Construction Stone Dolomite Reserves At The ""Bukovača"" Quarry Site",06/11/2026:09:00:00,BA
Channel Inverter Air Conditioner,06/11/2026:09:00:00,UA
Request For Information: Support For Functional Ability And Participation And Supported Housing,06/11/2026:09:00:00,FI
Air Treatment System Servicing,06/11/2026:09:00:00,RS
"Providing Services In The Preparation, Delivery And Distribution Of Daily Patient Nutrition",06/11/2026:09:00:00,PL
"Moving The Sheds Of The Residential Building At 18.Novembra Street 122, Daugavpils",06/11/2026:10:00:00,LV
Long-Term Full-Service Rental Of A New Passenger Car,06/11/2026:10:00:00,LV
"Making Changes To The Construction Project Of The Iecava Sports School ""Dartija"", Author Supervision And Construction Works",06/11/2026:10:00:00,LV
On The Security Of Preschool Educational Institutions,06/11/2026:10:00:00,LV
"Rain And Drainage Water Systems, Salacgrīvā, Limbažu District Design And Author Supervision Works",06/11/2026:10:00:00,LV
"Authorizations For Surf Schools And Other Aquatic Sports Activities On The Beaches Of Ris And Helgueras, In The Municipality Of Noja, During The Period 2026-2029",06/11/2026:10:00:00,ES
Sda Cafeteria Eva 10 (June-August),06/11/2026:10:00:00,ES
Relocation Of Shipping Pipelines In Section No. 2 Of The Combustion Waste Landfill Of The Szczecin Heat And Power Plant For Pge Energia Ciepła S.A. Szczecin Branch,06/11/2026:10:00:00,PL
"Wsz-Ep-6/2026 ""Delivery Of Disposable Equipment And Medical Devices""",06/11/2026:10:00:00,PL
Delivery Of Portable Computers And Monitors To The Kowr Headquarters,06/11/2026:10:00:00,PL
Delivery And Installation Of A Biogas Tank With Accompanying Installations At The Goś Dębogórze Sewage Treatment Plant.,06/11/2026:10:00:00,PL
"Increasing The Level Of Security At The Chełmno City Hall Under The ""Cybersafe Local Government"" Grant Program",06/11/2026:10:00:00,PL
"Preparation Of Design Documentation Divided Into Parts: Part 1: Ostrołęka Commune. Ostrołęka, In Accordance With Connection Conditions No. 25-G0/Wp/00743. Part 2: Kobyłka Commune Kobyłka, In Accordance With Connection Conditions No. 26-G0/Wp/00165.",06/11/2026:10:00:00,PL
Modernization Of The Meteorological Station At The Wodzisław Śląski Plant.,06/11/2026:10:00:00,PL
"""Actions Increasing The Level Of Cybersecurity Of The Hospital - Purchase And Implementation Of An Edr Class Security System""",06/11/2026:10:00:00,PL
Carrying Out Tasks In The Field Of Image Data Processing From Static Cameras And Qualitative Analysis Of Photogrammetric Data.,06/11/2026:10:00:00,PL
Procurement Notice For Pruning Perennial Plants In The Area Of ​​The Municipality Of Modriča,06/11/2026:10:00:00,BA
Procurement Notice For Installation And Construction Works On The Sewage Network,06/11/2026:10:00:00,BA
Restructuring Of The Official Web,06/11/2026:10:00:00,AL
Public Notice Of Expression Of Interest By Third Sector Entities (E.T.S.) For The Carrying Out Of The Home Delivery Service Of The Patient Resident In The Municipality Of Barletta Of The Medicines Dispensed By The Uosvd Hospital Pharmacy P.O. Of Barletta.,06/11/2026:10:00:00,IT
"Pet Ct,Pet Ct",06/11/2026:10:00:00,HR
"Electrical Material For ""Timočke Šume"" Boljevac 731",06/11/2026:10:00:00,RS
Construction Modifications Of Building No. 241 Spšow In Velké Poříčí – Construction Work,06/11/2026:10:00:00,CZ
"Implementation, Extension And Provision Of A Central Phasor Data Concentrator System With Integrated Wams Functionality",06/11/2026:10:00:00,DE
"""Actions Increasing The Level Of Cybersecurity Of The Hospital - Purchase And Implementation Of An Edr Class Security System""",06/11/2026:10:00:00,CH
Washing Of Vehicles,06/11/2026:10:30:00,MK
Purchase And Delivery Of Reagents For The Laboratory Of Genetic And Molecular Cancer Diagnostics.,06/11/2026:11:00:00,PL
"""Implementation Of Al Solutions And Connection To The Central Repository Of Medical Data - Integration With The Intelligent Services Platform""",06/11/2026:11:00:00,PL
Royal Guard Children'S And Youth Camp Service 2026,06/11/2026:11:00:00,ES
Purchase And Installation Of Seating Shelters In Olsztyn Zachodni And Wipsowo In The Area Of ​​Operation Of The Olsztyn Railway Lines Plant.,06/11/2026:11:00:00,PL
Accounting And Financial Management Software,06/11/2026:11:00:00,CH
"Copy Carrying Out Individual Career Counseling For Project Participants As Part Of The Project Entitled ""Practice Makes Perfect In The Profession - Improving The Quality Of Vocational Education At The Ckz Bujny School Complex"" Co-Financed By The European Union Under The European Social Fund Plus, Just Transition Fund, Priority 9. European Funds For The Lodz County In Transformation, Measure Feld.09.02 Society In Transformation",06/11/2026:11:00:00,PL
Procurement Notice For Advertising Material Creation Services For The Faculty Of Law (Fmon Project),06/11/2026:11:00:00,BA
"Procurement Notice For Delivery, Installation And Integration Of Access Control Subsystems At Elevator Facilities",06/11/2026:11:00:00,BA
"""Compulsory Insurance (Tpl) Of Motor Vehicles Of The Tirana Local Police Directorate""",06/11/2026:11:00:00,AL
Scaffolding And Demolition Work At The Zuba Station Hamburg Harburg Bus Station Exit,06/11/2026:11:30:00,DE
Replacing The Chute Pipes Of The Cfb Boiler Vibrating Screen.,06/11/2026:12:00:00,PL
Supplies Of Surgical Drapes For A Period Of 24 Months - Case Reference: Z51/Pn/26,06/11/2026:12:00:00,PL
"Renewable Energy Sources In Buildings And Public Utility Areas In Local Government Units Of The Rybnik Poviat - Part Iii - Buildings Of Primary School No. 8, Primary School No. 7, Kindergarten No. 8,",06/11/2026:12:00:00,PL
"Renewable Energy Sources In Buildings And Public Utility Areas In Local Government Units Of The Rybnik Poviat - Part Ii - Buildings Primary School No. 6, Primary School No. 4, Primary School No. 5, Kindergarten No. 7, Kindergarten No. 10",06/11/2026:12:00:00,PL
"Restructuring / Extension Of A Health Center On The Antrain Site-Relaunch Lot 15: Strong & Weak Current Electricity, Relaunch Lot 16: Hvac – Smoke Exhaust, Relaunch Lot 17: Plumbing – Sanitary, Relaunch Lot 19: Balneotherapy Equipment",06/11/2026:12:00:00,FR
Cleaning Machine Hpp Vuhred,06/11/2026:12:00:00,SI
Raamovereenkomst Ups-Systemen: Levering En Onderhoud T.B.V. Ia,06/11/2026:12:00:00,NL
Request For Information: Neurosurgical Supplies,06/11/2026:12:00:00,FI
"9600_26_Fbl_02_9600_Kalk Karree Cologne, Dillenburger Str., Ottmar-Pohl-Platz 1 In Cologne",06/11/2026:12:00:00,DE
"9600_26_Fbl_02_9600_Kalk Karree Cologne, Dillenburger Str., Ottmar-Pohl-Platz 1 In Cologne",06/11/2026:12:00:00,CH
"Renewable Energy Sources In Buildings And Public Utility Areas In Local Government Units Of The Rybnik Poviat - Part Iii - Buildings Of Primary School No. 8, Primary School No. 7, Kindergarten No. 8,",06/11/2026:12:00:00,CH
"Restructuring / Extension Of A Health Center On The Antrain Site-Relaunch Lot 15: Strong & Weak Current Electricity, Relaunch Lot 16: Hvac – Smoke Exhaust, Relaunch Lot 17: Plumbing – Sanitary, Relaunch Lot 19: Balneotherapy Equipment",06/11/2026:12:00:00,CH
Provision Of Technical Inspection Services Of Medical Equipment And Devices For A Period Of 24 Months - Z/25/Pn/26,06/11/2026:12:00:00,CH
Services Of Verification And Control Of Measuring Equipment,06/11/2026:12:00:00,RS
Electricity,06/11/2026:12:00:00,RS
Procurement Notice For Procurement Of Drinks And Beverages,06/11/2026:12:00:00,BA
"Procurement Notice For Procurement Of Fire Protection Devices (Nozzles, Hoses, Etc.) For The Needs Of The Neretva Hydroelectric Power Plant Branch, Jablanica",06/11/2026:12:30:00,BA
Acquisition Of Citrix Licenses,06/11/2026:13:00:00,FI
"Freiberger Mulde, Hws Döbeln, Lot 6 – Old Town (Sections I/1.5 A+B And I/1.6A)",06/11/2026:13:00:00,DE
"Procurement Notice For Software Procurement, Development And Maintenance",06/11/2026:14:00:00,BA
"44160000-9 Mains, Pipelines, Pipes, Casing Pipes, Tubing And Related Products (Polyethylene Thermoresistive And Joint Fittings)",06/11/2026:14:00:00,UA
Line 154: Namur / Dinant - Commune Of Yvoir - Rehabilitation Of The Fences Of The Access Road To The Acli Of Yvoir.,06/11/2026:14:00:00,BE
Accident And Liability Insurance Services,06/11/2026:14:00:00,CH
Rapid Visual Assessment Services Of Buildings In The Municipality Of Brașov - Framework Agreement - 48 Months,06/11/2026:15:00:00,CH
Outsourcing Of The Administrative And Educational Organization Of Educational And Leisure Activities At The Jacqueline De Romilly Site - Municipality Of Saint-Cyr-L'École.,06/11/2026:15:00:00,FR
Implementation Of E-Services At The University Clinical Hospital No. 1. Prof. Tadeusz Sokołowski Pum In Szczecin,06/11/2026:15:00:00,PL
Procurement Notice For Revision Of The Project Of Existing Equipment And Lighting In The Multimedia Hall,06/11/2026:16:00:00,BA
Expression Of Interest Pursuant To Art. 77 Ccp - Fiscal And Tax Assistance,06/11/2026:16:00:00,IT
Single-Cell Multi-Omics Analysetoestel,06/11/2026:16:00:00,BE
Notice Of Procurement For The Development Of Project Documentation For Cemeteries And Memorials,06/11/2026:16:00:00,BA
"Profile Pipes 30X20X2, 30X30X2, 40X40X2, 50X50X2, 100X50X3, Angle G/K 50X50X4, Circle D10 (Dc 021:2015 44330000-2 ""Construction Rods, Rods, Wires And Profiles"").",06/11/2026:17:08:00,UA
"Profile pipes 30x20x2, 30x30x2, 40x40x2, 50x50x2, 100x50x3, g/k angle 50x50x4, circle D10 (DK 021:2015 44330000-2 ""Construction rods, rods, wires and profiles"").",06/11/2026:17:08:00,UA
Tender For The Grant Of A Public Domain Occupancy License To Exercise The Activity Of Non-Sedentary Sales With A Food Truck Vehicle Destined To Creperia,06/11/2026:17:30:00,ES
Public Concession For The Operation Of The Bar-Bar Located In The Municipal Swimming Pool Facilities,06/11/2026:20:37:00,ES
Supply Of High-Fidelity Dna Polymerase And Associated Reagents For The Transfusion Center Of The Community Of Madrid,06/11/2026:23:59:00,ES
"Supply Of An Intraoperative Neurophysiological Monitoring System, For The Neurophysiology Service Of The Dr. Balmis General University Hospital",06/11/2026:23:59:00,ES
Provision Of Conciliation Services In Summer: Concilia Coirós 2026,06/11/2026:23:59:00,ES
"Digitization Of The High-Speed Driving Network, Deposits And The Distribution Network In Mondariz.",06/11/2026:23:59:00,ES
"Execution Of The Work For The Installation Of Generating Sets Intended To Guarantee The Electrical Supply To Essential Services In The Residential Care Centers For People With Intellectual Disabilities Of Majadahonda And Aranjuez, Assigned To The General Directorate Of Care For People With Disabilities Of The Department Of Family, Youth And Social Affairs Of The Community Of Madrid, Whose Characteristics Are Defined In The Execution Project And In The Technical Specifications. Individuals. The Contract Is Financed Through The Recovery And Resilience Mechanism Of The Recovery, Transformation And Resilience Plan (Prtr) – Financed By The European Union “Next Generation Eu” –, Within Component 22 Called “Shock Plan For The Care Economy And Reinforcement Of Inclusion Policies” And Investment Line I1 “Long-Term Care And Support Plan: Deinstitutionalization, Equipment And Technology”, Investment Project Called P01 “Transformation Of Centers Towards A New Model Of Care Focused On The Quality Of Life And Autonomy Of People”, Within The Framework Of Action 17: Other Investments In Equipment Not Linked To New Technologies. Various Equipment For Own Centers.",06/11/2026:23:59:00,ES
"Supply And Installation Of New High-Voltage Electrical Switchgear In The Transformation Center Of The Municipal Swimming Pool Of Piedras Blancas (Ltc002981, 400 Kva), For The Correction Of Serious Defects And Compliance With Royal Decree 337/2014.",06/11/2026:23:59:00,ES
Private Hiring Of Los Estanques And El Canijo De Jerez For Their Participation In The Noche Blanca Del Flamenco 2026,06/11/2026:23:59:00,ES
"Urban Regeneration Works 1/26, In 3 Lots.",06/11/2026:23:59:00,ES
Disinfestation Of Drains And Road Grates,06/11/2026:23:59:00,IT
Municipal Pool Management Service Contract 2026,06/11/2026:23:59:00,ES
"Digitization Of The High Conduction Network, Warehouses And The Distribution Network In Mondariz.",06/11/2026:23:59:00,ES
"Supply Of Office And Complementary Furniture, Archives, Libraries, Partitions, Clinical And Geriatric And Laboratory Furniture.",06/11/2026:23:59:00,ES
Universal Postal Service For El Paso City Hall,06/11/2026:23:59:00,ES
Digitization Of The Sanitation System In Mondariz.,06/11/2026:23:59:00,ES
Digitization Of The Sanitation System In Mondariz.,06/11/2026:23:59:00,ES
"Supply, Assembly And Installation Of Cabinets And Lockers For The Dr. Balmis University General Hospital Of Alicante And The Health Centers Of The Health Department Alicante - General Hospital",06/11/2026:23:59:00,ES
"Supply Of An Ultrasound Probe For Electromyograph, For The Clinical Neurophysiology Service Of The Dr. Balmis University General Hospital",06/11/2026:23:59:00,ES
"Construction Of The Building In A Closed Shell, Facade And Complete Landscaping",06/11/2026:23:59:59,PL
Design Development And Execution Of An Ecological Mural At Ul. Piast In Gryfino,06/11/2026:23:59:59,PL
Renovation Of The Jvg_Hls Gym And Swimming Pool,06/12/2026:00:00:00,DE
Support Mission Contract For The Management And Implementation Of The “Prevention And Protection Of Children” Strategy Of The Department Of Réunion,06/12/2026:00:00:00,FR
Supply Of Boats And Ancillary Services For The Benefit Of Eda Customers,06/12/2026:00:00:00,FR
Maintenance And Acquisition Of Radio Communication Equipment And Other Related Technologies For The Aix-Marseille Provence Metropolis,06/12/2026:00:00:00,FR
Provision Of Services For The Installation Of A Particle Conveying System Intended For The Thémis Solar Power Plant Prototype,06/12/2026:00:00:00,FR
Cph137 - Domestic Abuse Support Services (Preliminary Market Engagement Event) (Cph137 - Domestic Abuse Support Services (Preliminary Market Engagement Event)),06/12/2026:00:00:00,GB
"Ceredigion - Household Waste Sites Operation At Aberystwyth, Llanarth And Cardigan / Gweithrediad Safleoedd Gwastraff Cartref Yn Aberystwyth, Llanarth A Aberteifi",06/12/2026:00:00:00,GB
Rack-Server Inkl. Service,06/12/2026:00:00:00,DE
Lot 1: Maintenance And Basic Cleaning Kita Villa Zauberwald Rülzheim (Zvgerm-2026-0068-R-R),06/12/2026:00:00:00,DE
Ceredigion - Provision And Operation Of A Household Waste Site In The South East Of Ceredigion / Darpariaeth A Gweithrediad Safle Gwastraff Cartref Yn Ne-Ddwyrain Ceredigion,06/12/2026:00:00:00,GB
Devices For Artificial Lung Ventilation,06/12/2026:00:00:00,UA
Belmt No. 470/26-Ea “Personal Protective Equipment”,06/12/2026:00:00:00,BY
"Grodno No. 398/26-Ea “Ultrasonic Inhaler For Completing The Facility “Reconstruction Of The Administrative And Medical Building Of The Health Care Institution “Grodno Regional Clinical Center “Phthisiology” At The Address: Grodno, Leninsky Komsomol Boulevard, 55. Second Stage” At The Request Of The State Regional Unitary Enterprise ""Capital Construction Department Of The Grodno Regional Executive Committee""",06/12/2026:00:00:00,BY
Mt 499/26-Ea “General Surgical Electromechanical Operating Table For The State Clinical Hospital No. 2”,06/12/2026:00:00:00,BY
Technical Examination Service (With Issuance Of Defect Detection Certificates) Of Computer Equipment,06/12/2026:00:00:00,BY
"Grodmt No. 401/26-Ea “Nitrile, Non-Sterile, Powder-Free Examination Gloves For Healthcare Institutions In Grodno And The Grodno Region”",06/12/2026:00:00:00,BY
Supply Of N. 01 Trocar And N. 01 Optics For Neuroendoscope Supplied...,06/12/2026:00:00:00,IT
"10026671 - Technical Backstopping And Design Of Methodology For Incentives For Ecosystem Services, And Impact Framework Development In India",06/12/2026:00:00:00,DE
Measure “Biographical Work Using Musical Means”,06/12/2026:00:00:00,DE
Multi-Purpose Hall Forst (Lausitz) Renovation Of The Ball-Proof Suspended Ceiling - Lot 3 Drywall Work,06/12/2026:00:00:00,DE
Lot 2: Glass Cleaning Kita Villa Zauberwald (Zvgerm-2026-0072-R-R),06/12/2026:00:00:00,DE
Measure “Biographical Work Using Musical Means”,06/12/2026:00:00:00,DE
Eriksborg – Stage 1,06/12/2026:00:00:00,DK
The Main And Architectural Design Of The Kilpinen School Renovation,06/12/2026:04:00:00,FI
Structural Design Of The Kilpinen School Renovation,06/12/2026:04:00:00,CH
The Main And Architectural Design Of The Kilpinen School Renovation,06/12/2026:04:00:00,CH
"Hoa/Fboa 108 Stp, 220 San, 993 Gir",06/12/2026:08:00:00,DE
"Procurement Notice For The Agreement On The Successive Procurement Of Gps Fuel Consumption And Locomotive Tracking Services, Rail Vehicle Tracking Services, Construction Machinery And Road Vehicles With Fuel Probes And Freight Cars And Rail Crane Movements.",06/12/2026:08:00:00,BA
Window Replacement In Put Rzepin,06/12/2026:08:30:00,PL
Procurement Notification For Demolition Of Buildings Under Inspection Supervision,06/12/2026:09:00:00,BA
Procurement Of Vehicles For Waste Collection Through Financial Leasing,06/12/2026:09:00:00,HR
Procurement Notice For Other Medical Equipment,06/12/2026:09:00:00,BA
"Bus Stop And Exit At Čs. Brigade In Bystřice Pod Hostýnem
45000000-7",06/12/2026:09:00:00,CZ
Purchase Of Office Materials For The Territory Protection Inspectorate,06/12/2026:09:00:00,AL
Procurement Notice For Public Procurement Of Goods - Procurement Of Office Machines,06/12/2026:09:00:00,BA
Construction Of The Brdovec Integration Center,06/12/2026:09:00:00,HR
Procurement Notice For Pellets Purchase,06/12/2026:09:00:00,BA
Construction Of The Brdovec Integration Center,06/12/2026:09:00:00,CH
Renovation Of The Jvg_Elt Gym And Swimming Pool,06/12/2026:09:30:00,DE
Procurement Notice For Elevator Parts Maintenance And Replacement Services,06/12/2026:09:30:00,BA
Procurement Notice For Public Procurement Of Pellets,06/12/2026:09:30:00,BA
Procurement Notice For Procurement Of Antivirus Licenses,06/12/2026:09:30:00,BA
"Chodzież Ul. Dworcowa 1, Building Station - Replacement Of Damaged Double Doors From The Staircase With New Ones.",06/12/2026:10:00:00,PL
Ensuring Maintenance And Service Support Of Sw Aktion.Next For The Regional Hospital Náchod A.S.,06/12/2026:10:00:00,CZ
Procurement Notice For Antiseptics And Disinfectants,06/12/2026:10:00:00,BA
Electricity,06/12/2026:10:00:00,RS
Mobile Development Partner,06/12/2026:10:00:00,NO
Renovation Of Vacant Residential Premises No. 28 And No. 122 In The Building At Ul. Kredytowa 2 In Warsaw,06/12/2026:10:00:00,PL
Supervision Of Works For The Object,06/12/2026:10:00:00,AL
Flood Rehabilitation Of Damaged Infrastructure,06/12/2026:10:00:00,AL
"Remediation Of Historically Contaminated Areas At Dzelzceļa Street 10, Aizkrauklē",06/12/2026:10:00:00,LV
Provision Of Catering Service In Educational Institutions And Social Care Center Of Lubana Association Of Madona Region,06/12/2026:10:00:00,LV
"Delivery And Installation Of A Pellet Boiler At The Place Of An Existing Pellet Boiler At Rīgas Street 104, Jēkabpils, Jēkabpils District",06/12/2026:10:00:00,LV
"Remediation Of Historically Contaminated Areas At Dzelzceļa Street 10, Aizkrauklē",06/12/2026:10:00:00,LV
Tender For The Security And Surveillance Service In Homes And Buildings Managed By Alokabide,06/12/2026:10:00:00,ES
Tender For The Security And Surveillance Service In Homes And Buildings Managed By Alokabide,06/12/2026:10:00:00,ES
"Delivery Of Signs, Shields, Information Boards And Pictograms For The Railway Lines Plant In Poznań",06/12/2026:10:00:00,PL
Maintenance And Maintenance Of Constant Operational Efficiency Of Ventilation And Air Conditioning In Buildings Administered By The Economic And Logistics Office Of The University Of Warsaw,06/12/2026:10:00:00,PL
Maintenance And Maintenance Of Constant Operational Efficiency Of Ventilation And Air Conditioning In Buildings Administered By The Economic And Logistics Office Of The University Of Warsaw,06/12/2026:10:00:00,CH
"Remediation Of Historically Contaminated Areas At Dzelzceļa Street 10, Aizkrauklē",06/12/2026:10:00:00,CH
Provision Of Catering Service In Educational Institutions And Social Care Center Of Lubana Association Of Madona Region,06/12/2026:10:00:00,CH
Mobile Development Partner,06/12/2026:10:00:00,CH
Eriksborg – Stage 1,06/12/2026:10:00:00,CH
Items: Heat Transfer Liquidquantity: 200,06/11/2026:00:00:00,IN
"Alpha Ketoanalogue 200 Mg Tab,Amoxycillin 500 Mg Plus Clavulinic Acid 125 Mg Tab,Atenolol 25 Mg Tab Quantity: 1682839",06/11/2026:00:00:00,IN
Compensator Piston To Drg. No. 44P 02007* Reqd. For 14.5/20Mm Amr Quantity: 32,06/11/2026:00:00:00,IN
Facility Management Services - Lumpsum Based - Goverment; Supply  And Installation Of 25 Hp Tubewel Quantity: 1,06/11/2026:00:00:00,IN
Items: Revolving Chair (V5)Quantity: 1,06/11/2026:00:00:00,IN
"4215960013,4215980014,4384540064,4384600024,4494630034 Quantity: 11",06/11/2026:00:00:00,IN
"Cups Saucers Tea Set,Non Carbonated Beverage Dispenser,Glass Coaster,Toilet Cleaner,Mosquito Repell Quantity: 5289",06/11/2026:00:00:00,IN
Supply Of Surge Capacitors For Gtgs/Stgs Quantity: 12,06/11/2026:00:00:00,IN
"Manpower Outsourcing Services - Minimum Wage - Highly-Skilled; Graduate; Admin,Manpower Outsourcing Quantity: 15",06/11/2026:00:00:00,IN
Security Manpower Service (Version 2.0) - Office/Commercial/Institutions/ Residential; Unarmed Secu Quantity: 3,06/11/2026:00:00:00,IN
